area,bathroom,bedroom,lat,long,school,mrt,age,type_condo,type_hdb,price_sqft
1302,2,4,1.353942,103.932198,2,0,32,0,1,422.43
1572,3,4,1.370583,103.958109,3,0,31,0,1,458.02
1302,2,4,1.358478,103.9612905,2,0,25,0,1,383.17
1323,2,3,1.37425,103.89723,4,0,29,0,1,438.4
645,2,2,1.319391,103.8844395,3,1,34,0,1,480.62
1571,3,4,1.421334,103.837437,3,0,34,0,1,387.01
1421,2,3,1.352960022,103.88378,2,0,36,0,1,387.05
624,1,3,1.2828,103.81786,2,0,52,0,1,429.49
1518,2,3,1.401984,103.7507895,3,0,22,0,1,362.32
990,2,3,1.380132,103.8293685,2,0,41,0,1,423.12
1452,2,4,1.390068,103.9057245,4,0,22,0,1,440.77
721,2,2,1.393785,103.878216,3,0,7,0,1,506.24
699,2,2,1.28286,103.82203,3,0,47,0,1,484.98
1324,2,3,1.373814,103.9575915,3,0,31,0,1,400.3
990,2,3,1.395252,103.8886155,4,0,6,0,1,494.95
1011,2,3,1.403118,103.9022865,7,1,9,0,1,445.1
1205,2,3,1.39193,103.90694,6,0,19,0,1,381.74
1399,2,4,1.342521,103.6996695,5,0,21,0,1,393.14
1119,2,3,1.356615,103.8423195,1,0,29,0,1,471.85
1270,2,3,1.380132,103.8293685,2,0,41,0,1,405.51
1227,2,3,1.304991,103.7858085,1,0,43,0,1,611.25
732,2,2,1.341864,103.7391795,3,0,38,0,1,353.83
1550,2,4,1.344636,103.7605275,3,0,24,0,1,469.68
1023,2,3,1.389303,103.878729,3,0,18,0,1,398.83
731,2,2,1.419291,103.84479,3,0,4,0,1,435.02
1194,2,3,1.4049,103.90272,7,1,18,0,1,389.45
1001,2,3,1.389348,103.903083,5,0,22,0,1,399.6
1022,2,3,1.4049,103.90272,7,1,9,0,1,552.84
990,2,3,1.427499,103.842378,4,0,7,0,1,500
785,2,2,1.349028,103.939569,3,1,37,0,1,430.57
990,2,3,1.380132,103.8293685,2,0,41,0,1,342.42
1140,2,3,1.29357,103.7996235,2,0,26,0,1,521.93
796,2,2,1.320813,103.8613455,2,1,36,0,1,628.14
689,2,2,1.33361,103.9131,2,1,34,0,1,476.05
1001,2,3,1.389582,103.879476,3,0,6,0,1,479.52
732,1,3,1.33448,103.85108,4,1,49,0,1,437.16
904,1,3,1.321119,103.941675,2,0,43,0,1,403.76
1334,2,3,1.37106,103.873689,1,0,29,0,1,358.77
1592,2,4,1.366146,103.962051,3,0,27,0,1,351.76
1259,2,3,1.33448,103.85108,4,1,45,0,1,405.08
1206,2,3,1.41073,103.89768,3,0,5,0,1,562.19
1098,2,3,1.345977,103.9402125,3,1,37,0,1,400.73
1020,2,3,1.441881,103.807161,3,0,19,0,1,419.61
1162,2,3,1.347282,103.9511925,5,0,37,0,1,378.66
1087,2,3,1.379241,103.7658825,4,1,24,0,1,505.98
796,2,2,1.350009,103.952817,6,0,37,0,1,399.5
1001,2,3,1.403604,103.900455,7,1,8,0,1,504.5
818,2,3,1.32298,103.87001,1,1,46,0,1,415.65
1528,3,4,1.381806,103.9008915,5,0,22,0,1,424.08
990,2,3,1.427355,103.841217,4,0,7,0,1,580.81
721,2,2,1.400184,103.900095,7,0,7,0,1,506.24
1475,2,3,1.34261,103.92539,1,0,37,0,1,413.56
820,2,2,1.346301,103.9475115,6,0,39,0,1,463.41
1582,3,3,1.323207,103.7711295,1,0,37,0,1,505.69
990,2,3,1.329111,103.927734,3,0,42,0,1,444.44
904,2,3,1.42569,103.834008,5,1,35,0,1,352.75
990,2,3,1.380132,103.8293685,2,0,42,0,1,353.54
1334,2,3,1.364679,103.9594365,2,0,28,0,1,363.57
882,2,2,1.33278,103.93165,4,1,41,0,1,391.16
980,2,3,1.338354,103.7035845,3,1,22,0,1,464.29
1356,2,4,1.343961,103.701897,5,0,20,0,1,357.67
721,1,2,1.33448,103.85108,4,1,53,0,1,360.61
990,2,3,1.394226,103.8922425,6,1,7,0,1,464.65
699,2,2,1.303704,103.911444,3,0,46,0,1,693.85
689,1,2,1.35144,103.7536965,3,0,34,0,1,418
1398,2,4,1.44794,103.81891,4,1,21,0,1,343.35
1270,2,3,1.373409,103.851135,2,1,41,0,1,471.65
743,2,2,1.39545,103.90626,9,0,5,0,1,538.36
910,2,3,1.346751,103.8479895,3,2,35,0,1,592.18
1205,2,4,1.375182,103.9004055,2,0,6,0,1,609.96
1162,2,3,1.35026,103.93597,4,0,11,0,1,658.35
645,1,2,1.30725,103.7989395,1,0,51,0,1,415.5
1022,2,3,1.382058,103.902354,5,0,22,0,1,391.39
732,1,3,1.319301,103.86405,2,1,50,0,1,450.67
1216,2,2,1.394613,103.876587,3,0,9,0,1,459.7
646,1,2,1.438479,103.7795265,3,0,37,0,1,352.94
635,2,2,1.33278,103.93165,4,1,43,0,1,472.44
1054,1,3,1.32825,103.88719,1,3,55,0,1,407.97
678,1,2,1.33758,103.85179,4,0,38,0,1,412.24
990,2,3,1.35486,103.932711,2,0,6,0,1,525.25
1022,2,3,1.41003,103.90594,5,0,8,0,1,410.96
1216,2,3,1.35026,103.93597,4,0,6,0,1,583.88
