,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
4025,7 Boon Keng Road,7 Boon Keng Road,2011,1022 sqft,2,3,"S$ 938,000 ",S$ 917.81 psf,99-year Leasehold,HDB Apartment,1.3167900000000001,103.861782
4026,471A Upper Serangoon Crescent,471A Upper Serangoon Crescent,2014,990 sqft,2,3,"S$ 480,000 ",S$ 484.85 psf,99-year Leasehold,HDB Apartment,1.3781430000000001,103.901769
4027,Jalan Nipah,Jalan Nipah,2019,"5000 sqft, 3470 sqft (land)",6,5,"S$ 5,288,888 ","S$ 1,524.18 psf",Freehold,Semi-Detached House,1.3259801173,103.952836506
4028,118 Tampines Street 11,Treasure @ Tampines,99-year Leasehold,1033 sqft,3,3,"S$ 1,280,000 ","S$ 1,239.11 psf",Condominium,New Project: 2023,1.3449149999999999,103.946733
4029,12 Keppel Bay Drive,Caribbean @ Keppel Bay,2004,1227 sqft,3,3,"S$ 1,850,000 ","S$ 1,507.74 psf",99-year Leasehold,Condominium,1.2665250000000001,103.816566
4030,1 Mount Faber Road,The Pearl @ Mount Faber,2005,3111 sqft,4,3,"S$ 3,500,000 ","S$ 1,125.04 psf",99-year Leasehold,Condominium,1.270989,103.824081
4031,2 Hillview Rise,The Hillier,2016,516 sqft,1,1,"S$ 788,000 ","S$ 1,527.13 psf",99-year Leasehold,Apartment,1.363932,103.764582
4032,168C Punggol Field,168C Punggol Field,2012,1205 sqft,2,3,"S$ 545,000 ",S$ 452.28 psf,99-year Leasehold,HDB Apartment,1.4049,103.90272
4033,567 Hougang Street 51,567 Hougang Street 51,1995,1119 sqft,2,3,"S$ 380,000 ",S$ 339.59 psf,99-year Leasehold,HDB Apartment,1.3784939999999999,103.889007
4034,147 Silat Avenue,147 Silat Avenue,1982,1109 sqft,2,3,"S$ 610,000 ",S$ 550.05 psf,99-year Leasehold,HDB Apartment,1.27728,103.831092
