,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
7030,Ocean Drive,Sentosa Cove,2011,"5300 sqft, 7030 sqft (land)",7,5,"S$ 16,800,000 ","S$ 2,389.76 psf",99-year Leasehold,Detached House,1.28626,103.84244
7031,91 West Coast Vale,Twin Vew,99-year Leasehold,1927 sqft,5,5,"S$ 2,989,000 ","S$ 1,551.12 psf",Condominium,New Project: 2022,1.31152007,103.7596300039
7032,470 Choa Chu Kang Avenue 3,470 Choa Chu Kang Avenue 3,1997,1077 sqft,2,3,"S$ 360,000 ",S$ 334.26 psf,99-year Leasehold,HDB Apartment,1.378179,103.737105
7033,407 Hougang Avenue 10,407 Hougang Avenue 10,1984,1679 sqft,2,4,"S$ 740,000 ",S$ 440.74 psf,99-year Leasehold,HDB Apartment,1.372968,103.8956715
7034,7 How Sun Avenue,The Cascadia,2011,968 sqft,2,2,"S$ 1,599,999 ","S$ 1,652.89 psf",Freehold,Condominium,1.344492,103.880754
7035,633 Ang Mo Kio Avenue 6,633 Ang Mo Kio Avenue 6,1979,721 sqft,2,2,"S$ 350,000 ",S$ 485.44 psf,99-year Leasehold,HDB Apartment,1.3811849999999999,103.8422565
7036,63 Marine Drive,63 Marine Drive,1975,936 sqft,2,3,"S$ 528,000 ",S$ 564.10 psf,99-year Leasehold,HDB Apartment,1.302381,103.909239
7037,53 Sunrise Gardens,Sunrise Gardens,1998,1691 sqft,3,4,"S$ 1,550,000 ",S$ 916.62 psf,99-year Leasehold,Condominium,1.3892500501,103.8572699622
7038,245 Bishan Street 22,245 Bishan Street 22,1990,1658 sqft,3,3,"S$ 1,150,000 ",S$ 693.61 psf,99-year Leasehold,HDB Apartment,1.360341,103.843962
7039,16 Enggor Street,Altez,2014,1184 sqft,2,2,"S$ 3,190,222 ","S$ 2,694.44 psf",99-year Leasehold,Condominium,1.274616,103.8443175
7040,9 Punggol Field Walk,Flo Residence,2016,1012 sqft,3,3,"S$ 965,000 ",S$ 953.56 psf,99-year Leasehold,Condominium,1.392453,103.9138515
7041,69 Jalan Tua Kong,Park East,1994,1690 sqft,3,3,"S$ 2,320,000 ","S$ 1,372.78 psf",Freehold,Condominium,,
7042,Lorong Lew Lian,Forest Woods,99-year Leasehold,1023 sqft,2,3,"S$ 1,693,000 ","S$ 1,654.94 psf",Condominium,New Project: 2021,1.34993,103.87584
7043,Wilton Garden,Brand New Terrace at Wilton garden,2019,"4800 sqft, 1719 sqft (land)",5,4,"S$ 4,500,000 ","S$ 2,617.80 psf",Freehold,Terraced House,1.3140110531,103.9200963337
7044,23 Pasir Ris Link,Watercolours,2016,1141 sqft,3,3,"S$ 1,020,000 ",S$ 893.95 psf,99-year Leasehold,Executive Condominium,1.375956,103.959954
7045,17 Balmoral Road,Sloane Residences,Freehold,1249 sqft,3,3,"S$ 3,313,000 ","S$ 2,652.52 psf",Condominium,New Project: 2022,1.3156919999999999,103.832208
7046,283 Bedok South Avenue 3,Eco,2017,1162 sqft,2,2,"S$ 1,620,000 ","S$ 1,394.15 psf",99-year Leasehold,Condominium,1.322775,103.9449285
7047,188 Race Course Road,Soho 188,2008,452 sqft,1,1,"S$ 750,000 ","S$ 1,659.29 psf",Freehold,Apartment,1.31122,103.85281
7048,83 Flora Drive,Hedges Park Condo,2015,484 sqft,1,1,"S$ 565,000 ","S$ 1,167.36 psf",99-year Leasehold,Condominium,1.355157,103.9678425
7049,33 Pasir Ris Link,Watercolours,2016,1658 sqft,3,4,"S$ 1,350,000 ",S$ 814.23 psf,99-year Leasehold,Executive Condominium,1.376703,103.959783
7050,1 Shenton Way,One Shenton,2011,1604 sqft,3,3,"S$ 3,600,000 ","S$ 2,244.39 psf",99-year Leasehold,Condominium,1.279278,103.850541
7051,55 Paterson Road,Paterson Suites,2011,1776 sqft,2,3,"S$ 4,380,000 ","S$ 2,466.22 psf",Freehold,Condominium,1.301445,103.8307815
7052,10 Alexandra View,Artra,99-year Leasehold,786 sqft,2,2,"S$ 1,671,700 ","S$ 2,126.84 psf",Condominium,New Project: 2021,1.290527695,103.8165717508
7053,17B Circuit Road,17B Circuit Road,2015,1001 sqft,2,3,"S$ 740,888 ",S$ 740.15 psf,99-year Leasehold,HDB Apartment,,
7054,822 Sims Avenue,Parc Esta,99-year Leasehold,1119 sqft,3,4,"S$ 1,758,000 ","S$ 1,571.05 psf",Condominium,New Project: 2022,1.3007099267,103.8547500511
7055,26 Leedon Heights,Leedon Green,Freehold,667 sqft,1,2,"S$ 1,648,000 ","S$ 2,470.76 psf",Condominium,New Project: 2023,1.31295,103.80259
7056,Upper Serangoon View,Kingsford Waterbay,2018,484 sqft,1,1,"S$ 668,000 ","S$ 1,380.17 psf",99-year Leasehold,Apartment,1.3748032243,103.9030419183
7057,653 Hougang Avenue 8,653 Hougang Avenue 8,1987,1292 sqft,2,3,"S$ 470,000 ",S$ 363.78 psf,99-year Leasehold,HDB Apartment,1.364814,103.8657555
7058,705 Hougang Avenue 2,705 Hougang Avenue 2,1985,1593 sqft,3,3,"S$ 700,000 ",S$ 439.42 psf,99-year Leasehold,HDB Apartment,1.365651,103.8882645
7059,87 Pasir Ris Grove,Nv Residences,2013,1184 sqft,3,3,"S$ 1,100,000 ",S$ 929.05 psf,99-year Leasehold,Condominium,1.371861,103.9438485
7060,515C Tampines Central 7,515C Tampines Central 7,2009,1173 sqft,2,3,"S$ 780,000 ",S$ 664.96 psf,99-year Leasehold,HDB Apartment,1.35026,103.93597
7061,13 Dover Close East,13 Dover Close East,1977,1259 sqft,2,3,"S$ 828,000 ",S$ 657.66 psf,99-year Leasehold,HDB Apartment,1.305369,103.7860785
7062,28 Carpmael Road,Sheba Lodge,1998,1636 sqft,3,4,"S$ 1,988,000 ","S$ 1,215.16 psf",Freehold,Apartment,,
7063,147 Lorong 2 Toa Payoh,147 Lorong 2 Toa Payoh,2004,980 sqft,2,3,"S$ 699,000 ",S$ 713.27 psf,99-year Leasehold,HDB Apartment,1.33448,103.85108
7064,2 Sims Drive,Sims Urban Oasis,99-year Leasehold,624 sqft,1,2,"S$ 970,000 ","S$ 1,554.49 psf",Condominium,New Project: 2020,1.319193,103.8813795
7065,121 West Coast Crescent,Seahill,99-year Leasehold,1130 sqft,2,2,"S$ 1,494,000 ","S$ 1,322.12 psf",Condominium,New Project: 2019,1.298934,103.763916
7066,1 Beach Road,1 Beach Road,1970,872 sqft,2,2,"S$ 322,500 ",S$ 369.84 psf,99-year Leasehold,HDB Apartment,1.30442,103.8617
7067,20 Margaret Dr,Margaret Ville,99-year Leasehold,969 sqft,2,3,"S$ 1,876,400 ","S$ 1,936.43 psf",Apartment,New Project: 2021,1.3006945194,103.802435997
7068,Dalvey Road,Dalvey Haus,2022,2788 sqft,4,4,"S$ 9,169,721 ","S$ 3,289.00 psf",Freehold,Condominium,1.3152242541999999,103.8240397255
7069,83 Flora Drive,Hedges Park Condo,2015,796 sqft,2,2,"S$ 789,000 ",S$ 991.21 psf,99-year Leasehold,Condominium,1.355157,103.9678425
7070,23 Elias Road,Ris Grandeur,2006,1066 sqft,2,2,"S$ 1,080,000 ","S$ 1,013.13 psf",Freehold,Condominium,1.373751,103.9396365
7071,751 Pasir Ris Street 71,751 Pasir Ris Street 71,1994,1303 sqft,2,3,"S$ 535,000 ",S$ 410.59 psf,99-year Leasehold,HDB Apartment,1.378062,103.933926
7072,South Buona Vista Road,Kent Ridge Hill Residences,2024,474 sqft,1,1,"S$ 833,000 ","S$ 1,757.38 psf",99-year Leasehold,Condominium,1.2889979999999999,103.7835763976
7073,1 Chong Kuo Road,The Essence,99-year Leasehold,1259 sqft,3,3,"S$ 1,538,000 ","S$ 1,221.60 psf",Condominium,New Project: 2021,1.4034398732,103.8175064486
7074,8 Cantonment Close,8 Cantonment Close,2000,1184 sqft,2,3,"S$ 980,000 ",S$ 827.70 psf,99-year Leasehold,HDB Apartment,1.275804,103.8390345
7075,6 Keng Chin Road,Cyan,2014,1292 sqft,2,2,"S$ 2,900,000 ","S$ 2,244.58 psf",Freehold,Condominium,1.318266,103.830354
7076,63 Cavenagh Road,Hijauan,2015,1001 sqft,2,2,"S$ 2,100,000 ","S$ 2,097.90 psf",Freehold,Apartment,1.303596,103.841073
7077,31 Nathan Road,Loft @ Nathan,2015,506 sqft,1,1,"S$ 978,000 ","S$ 1,932.81 psf",Freehold,Condominium,1.294551,103.827582
7078,598 Yishun Ring Road,The Wisteria,2018,441 sqft,1,1,"S$ 620,000 ","S$ 1,405.90 psf",99-year Leasehold,Condominium,1.43621,103.83582
7079,945 Jurong West Street 91,945 Jurong West Street 91,1988,1130 sqft,2,3,"S$ 328,000 ",S$ 290.27 psf,99-year Leasehold,HDB Apartment,1.34145,103.6867
7080,8 Ang Mo Kio Ave 2,The Panorama,99-year Leasehold,700 sqft,2,2,"S$ 1,058,000 ","S$ 1,511.43 psf",Condominium,New Project: 2019,1.37161,103.84546
7081,118 Tampines Street 11,Treasure at Tampines,99-year Leasehold,657 sqft,2,2,"S$ 868,000 ","S$ 1,321.16 psf",Condominium,New Project: 2023,1.3449149999999999,103.946733
7082,79B Toa Payoh Central,79B Toa Payoh Central,2007,979 sqft,2,3,"S$ 798,000 ",S$ 815.12 psf,99-year Leasehold,HDB Apartment,1.33448,103.85108
7083,112 Kim Seng Road,The Trillium,2010,1798 sqft,4,4,"S$ 3,980,000 ","S$ 2,213.57 psf",Freehold,Condominium,1.293507,103.833171
7084,8 Martin Place,Martin Modern,99-year Leasehold,1733 sqft,3,4,"S$ 4,392,000 ","S$ 2,534.33 psf",Condominium,New Project: 2021,1.293354,103.838454
7085,316B Yishun Avenue 9,316B Yishun Avenue 9,2014,990 sqft,2,3,"S$ 380,000 ",S$ 383.84 psf,99-year Leasehold,HDB Apartment,1.432872,103.8426975
7086,2A Geylang Serai,2A Geylang Serai,2010,1022 sqft,2,3,"S$ 728,000 ",S$ 712.33 psf,99-year Leasehold,HDB Apartment,1.31255,103.89683
7087,310 Clementi Avenue 4,310 Clementi Avenue 4,1978,721 sqft,2,2,"S$ 308,000 ",S$ 427.18 psf,99-year Leasehold,HDB Apartment,1.320291,103.76595
7088,2 Marina Boulevard,The Sail @ Marina Bay,2008,1184 sqft,2,3,"S$ 2,480,000 ","S$ 2,094.59 psf",99-year Leasehold,Condominium,1.280772,103.8526605
7089,"Shelford Rd, Singapore",2 Storey Corner Terrace @ Shelford Road,1985,"2500 sqft, 2697 sqft (land)",4,4,"S$ 6,280,000 ","S$ 2,328.51 psf",Freehold,Corner Terrace,1.3270248429,103.8124462919
7090,311B Clementi Avenue 4,311B Clementi Avenue 4,2015,646 sqft,2,2,"S$ 580,000 ",S$ 897.83 psf,99-year Leasehold,HDB Apartment,1.319445,103.7656485
7091,Sixth Avenue MRT Vicinity,"Brand New & Luxury Bungalow with Lift, Swimming Pool and Roof Terrace, Tip-Top Finishings",2019,"8000 sqft, 4300 sqft (land)",6,5,"S$ 12,000,000 ","S$ 2,790.70 psf",Freehold,Bungalow House,1.33088,103.79738
7092,136 Joo Chiat Terrace,Palm Loft,2009,1679 sqft,2,3,"S$ 1,640,000 ",S$ 976.77 psf,Freehold,Apartment,1.31465,103.90201
7093,Sims Ave,189 Sims Ave,1930,"2000 sqft, 1350 sqft (land)",1,3,"S$ 2,500,000 ","S$ 1,851.85 psf",Freehold,Terraced House,,
7094,101 Prince Charles Crescent,The Crest,2017,1184 sqft,2,3,"S$ 2,330,000 ","S$ 1,967.91 psf",99-year Leasehold,Condominium,1.292697,103.8204135
7095,5 Upper Aljunied Lane,5 Upper Aljunied Lane,1968,614 sqft,1,2,"S$ 223,000 ",S$ 363.19 psf,99-year Leasehold,HDB Apartment,1.333728,103.879899
7096,,Gem Residences,99-year Leasehold,1249 sqft,3,4,"S$ 2,100,000 ","S$ 1,681.35 psf",Condominium,New Project: 2020,,
7097,16 Dunearn Road,Pullman Residences,Freehold,1281 sqft,4,3,"S$ 3,200,000 ","S$ 2,498.05 psf",Condominium,New Project: 2023,1.29329,103.77292
7098,815 Upper Serangoon Road,Grand Regalia,2004,2303 sqft,2,4,"S$ 2,188,000 ",S$ 950.07 psf,Freehold,Apartment,1.36177,103.88696
7099,13 Tampines  Central 7,The Tampines Trilliant,2015,1130 sqft,2,3,"S$ 1,230,000 ","S$ 1,088.50 psf",99-year Leasehold,Executive Condominium,1.35026,103.93597
7100,Binjai/ Kampong Chantek,"Balinese style with modern ID, private pool, greenery view!",2009,"4000 sqft, 4700 sqft (land)",5,4,"S$ 5,500,000 ","S$ 1,170.21 psf",Freehold,Semi-Detached House,1.35,103.78833
7101,3 Wallich Street,Wallich Residence,2016,1098 sqft,3,3,"S$ 3,750,000 ","S$ 3,415.30 psf",99-year Leasehold,Condominium,1.2771270000000001,103.8458115
7102,148 Rivervale Crescent,148 Rivervale Crescent,1998,1248 sqft,2,3,"S$ 425,000 ",S$ 340.54 psf,99-year Leasehold,HDB Apartment,1.390761,103.905198
7103,91 Lorong 3 Toa Payoh,91 Lorong 3 Toa Payoh,1968,732 sqft,1,3,"S$ 292,000 ",S$ 398.91 psf,99-year Leasehold,HDB Apartment,1.33772,103.84911
7104,108 Pasir Ris Street 12,108 Pasir Ris Street 12,1988,1571 sqft,3,4,"S$ 650,000 ",S$ 413.75 psf,99-year Leasehold,HDB Apartment,1.367478,103.9570155
7105,681 Hougang Avenue 8,681 Hougang Avenue 8,1987,689 sqft,2,2,"S$ 269,000 ",S$ 390.42 psf,99-year Leasehold,HDB Apartment,1.364814,103.8657555
7106,17 Tampines Central 7,The Tampines Trilliant,2015,872 sqft,2,3,"S$ 1,080,000 ","S$ 1,238.53 psf",99-year Leasehold,Executive Condominium,1.35026,103.93597
7107,349 Clementi Avenue 2,349 Clementi Avenue 2,1977,990 sqft,2,3,"S$ 420,000 ",S$ 424.24 psf,99-year Leasehold,HDB Apartment,1.315953,103.7710575
7108,340 Geylang Road,Le Regal,2016,366 sqft,1,1,"S$ 529,000 ","S$ 1,445.36 psf",Freehold,Apartment,1.31009,103.87107
7109,,Rivertrees Residences,2018,732 sqft,2,2,"S$ 899,000 ","S$ 1,228.14 psf",99-year Leasehold,Apartment,,
7110,822 Sims Avenue,Parc Esta,99-year Leasehold,527 sqft,1,2,"S$ 890,000 ","S$ 1,688.80 psf",Condominium,New Project: 2022,1.3007099267,103.8547500511
7111,760 Bedok Reservoir Road,Waterfront Waves,2011,1689 sqft,3,4,"S$ 1,880,000 ","S$ 1,113.08 psf",99-year Leasehold,Condominium,1.34261,103.92539
7112,28 Woodsville Close,Woodsville 28,2012,829 sqft,2,2,"S$ 1,200,000 ","S$ 1,447.53 psf",99-year Leasehold,Condominium,1.329903,103.8681045
7113,519 Bedok North Avenue 1,519 Bedok North Avenue 1,1978,721 sqft,2,2,"S$ 310,000 ",S$ 429.96 psf,99-year Leasehold,HDB Apartment,1.330875,103.928058
7114,32 Fernvale Link,H2O Residences,2015,882 sqft,2,2,"S$ 938,888 ","S$ 1,064.50 psf",99-year Leasehold,Condominium,1.392822,103.8802095
7115,333 New Bridge Road,Dorsett Residences,2013,484 sqft,1,1,"S$ 988,000 ","S$ 2,041.32 psf",99-year Leasehold,Condominium,1.279647,103.8400335
7116,1 Sengkang East Avenue,Riversound Residence,2015,452 sqft,1,1,"S$ 538,000 ","S$ 1,190.27 psf",99-year Leasehold,Condominium,1.381284,103.902876
7117,138 Rivervale Street,138 Rivervale Street,1997,1517 sqft,2,3,"S$ 535,000 ",S$ 352.67 psf,99-year Leasehold,HDB Apartment,1.388637,103.904622
7118,195 Jalan Loyang Besar,Bluwaters,2007,2627 sqft,3,4,"S$ 1,750,000 ",S$ 666.16 psf,999-year Leasehold,Condominium,1.37497,103.97395
7119,22 Sumang Walk,Piermont Grand,99-year Leasehold,1302 sqft,4,4,"S$ 1,675,000 ","S$ 1,286.48 psf",Executive Condominium,New Project: 2023,1.4051369366,103.894985989
7120,375 Clementi Avenue 4,375 Clementi Avenue 4,1980,721 sqft,2,2,"S$ 342,777 ",S$ 475.42 psf,99-year Leasehold,HDB Apartment,1.3184909999999999,103.7667015
7121,517 Choa Chu Kang Street 51,517 Choa Chu Kang Street 51,1994,1345 sqft,2,3,"S$ 409,000 ",S$ 304.09 psf,99-year Leasehold,HDB Apartment,1.39172,103.74311
7122,26 Woodlands Cresent,Northoaks,2001,1248 sqft,3,3,"S$ 789,888 ",S$ 632.92 psf,99-year Leasehold,Condominium,1.4459,103.80404
7123,2 Hillview Rise,The Hillier,2016,505 sqft,1,1,"S$ 800,000 ","S$ 1,584.16 psf",99-year Leasehold,Condominium,1.363932,103.764582
7124,1 Pasir Ris Link,Seastrand,2014,1302 sqft,2,3,"S$ 1,280,000 ",S$ 983.10 psf,99-year Leasehold,Condominium,1.376532,103.9607775
7125,Loyang Rise,Loyang Villas,1997,"3800 sqft, 2034 sqft (land)",5,5,"S$ 1,850,000 ",S$ 909.54 psf,99-year Leasehold,Terraced House,1.37784007,103.9561600294
7126,781 Upper Changi Road East,Sunhaven,2003,1291 sqft,3,3,"S$ 1,380,000 ","S$ 1,068.94 psf",Freehold,Condominium,1.347939,103.9615875
7127,59 Ang Mo Kio Avenue 8,Centro Residences,2014,764 sqft,2,2,"S$ 1,180,000 ","S$ 1,544.50 psf",99-year Leasehold,Condominium,1.370304,103.8483855
7128,916 Tampines Street 91,916 Tampines Street 91,1984,1162 sqft,2,3,"S$ 400,000 ",S$ 344.23 psf,99-year Leasehold,HDB Apartment,1.348632,103.940289
7129,Pasir Ris Grove,Coco Palms,2019,1259 sqft,3,4,"S$ 1,688,000 ","S$ 1,340.75 psf",99-year Leasehold,Condominium,1.3719963153,103.9448030088
7130,21 Sengkang East Avenue,Austville Residences,2014,786 sqft,2,2,"S$ 820,000 ","S$ 1,043.26 psf",99-year Leasehold,Executive Condominium,1.380465,103.901274
7131,223 Upper Paya Lebar Road,Botanique @ Bartley,2019,495 sqft,1,1,"S$ 760,000 ","S$ 1,535.35 psf",99-year Leasehold,Condominium,1.32503,103.89049
7132,45 Amber Road,Amber 45,Freehold,1130 sqft,3,3,"S$ 2,168,000 ","S$ 1,918.58 psf",Condominium,New Project: 2021,1.302768,103.901868
7133,642 Ang Mo Kio Avenue 5,642 Ang Mo Kio Avenue 5,1980,1300 sqft,2,3,"S$ 528,000 ",S$ 406.15 psf,99-year Leasehold,HDB Apartment,1.377936,103.8404835
7134,2 Meyappa Chettiar Road,The Poiz Residences,99-year Leasehold,441 sqft,1,1,"S$ 850,000 ","S$ 1,927.44 psf",Condominium,New Project: 2020,1.3309212801,103.8676297898
7135,90 Tanglin Halt Road,90 Tanglin Halt Road,2007,968 sqft,2,3,"S$ 810,000 ",S$ 836.78 psf,99-year Leasehold,HDB Apartment,1.300518,103.7989755
7136,772 Bedok Reservoir Road,Waterfront Key,2012,1518 sqft,3,4,"S$ 1,899,000 ","S$ 1,250.99 psf",99-year Leasehold,Condominium,1.34261,103.92539
7137,11 River Valley Close,Starlight Suites,2014,850 sqft,1,1,"S$ 1,890,888 ","S$ 2,224.57 psf",Freehold,Apartment,1.293651,103.837185
7138,171 Upper East Coast Road,Suites @ East Coast,2014,366 sqft,1,1,"S$ 605,000 ","S$ 1,653.01 psf",Freehold,Condominium,1.31283,103.92608
7139,1 Leedon Heights,D'leedon (former Farrer Court),2014,1270 sqft,2,3,"S$ 2,300,000 ","S$ 1,811.02 psf",99-year Leasehold,Condominium,1.316034,103.802265
7140,1 Chong Kuo Road,The Essence,99-year Leasehold,1044 sqft,2,3,"S$ 1,300,000 ","S$ 1,245.21 psf",Condominium,New Project: 2021,1.4034398732,103.8175064486
7141,60A Geylang Bahru,60A Geylang Bahru,1996,1291 sqft,2,3,"S$ 728,000 ",S$ 563.90 psf,99-year Leasehold,HDB Apartment,1.32308,103.86866
7142,348C Yishun Avenue 11,348C Yishun Avenue 11,2013,990 sqft,2,3,"S$ 580,000 ",S$ 585.86 psf,99-year Leasehold,HDB Apartment,1.427139,103.8422295
7143,336B Yishun Street 31,336B Yishun Street 31,2013,990 sqft,2,3,"S$ 368,000 ",S$ 371.72 psf,99-year Leasehold,HDB Apartment,1.4313690000000001,103.844331
7144,20 Guillemard Crescent,Arena Residences,Freehold,893 sqft,3,3,"S$ 1,562,000 ","S$ 1,749.16 psf",Condominium,New Project: 2022,1.3093710638,103.8809760784
7145,101 Mergui Road,Cityscape @ Farrer Park,2015,1249 sqft,3,3,"S$ 1,728,888 ","S$ 1,384.22 psf",Freehold,Condominium,1.3179509999999999,103.8514725
7146,62 Havelock Road,River Place,2000,969 sqft,2,2,"S$ 1,600,000 ","S$ 1,651.19 psf",99-year Leasehold,Condominium,1.289502,103.8405375
7147,282 Tampines Street 22,282 Tampines Street 22,1983,1119 sqft,2,3,"S$ 399,000 ",S$ 356.57 psf,99-year Leasehold,HDB Apartment,1.34775,103.952439
7148,19 Alexandra View,Alex Residences,2017,657 sqft,2,2,"S$ 1,380,000 ","S$ 2,100.46 psf",99-year Leasehold,Apartment,1.290527695,103.8165717508
7149,1 Makeway Ave,Newton Edge,2011,700 sqft,1,2,"S$ 1,400,000 ","S$ 2,000.00 psf",Freehold,Condominium,1.312911,103.8421125
7150,52 Upper Serangoon View,Kingsford Waterbay,2018,484 sqft,1,1,"S$ 610,000 ","S$ 1,260.33 psf",99-year Leasehold,Condominium,1.37313,103.9024305
7151,67 Hume Avenue,Hillview Green,1998,1582 sqft,3,3,"S$ 1,680,000 ","S$ 1,061.95 psf",999-year Leasehold,Condominium,1.357272,103.7644425
7152,475D Upper Serangoon Crescent,475D Upper Serangoon Crescent,2014,1206 sqft,2,4,"S$ 800,000 ",S$ 663.35 psf,99-year Leasehold,HDB Apartment,1.375182,103.9004055
7153,18 Marine Terrace,18 Marine Terrace,1974,947 sqft,2,4,"S$ 480,000 ",S$ 506.86 psf,99-year Leasehold,HDB Apartment,1.303209,103.9143015
7154,30 Segar Road,Blossom Residences,2014,969 sqft,2,3,"S$ 893,000 ",S$ 921.57 psf,99-year Leasehold,Executive Condominium,1.389348,103.770297
7155,70 Upper Serangoon View,Kingsford Waterbay,2018,1098 sqft,2,3,"S$ 1,705,000 ","S$ 1,552.82 psf",99-year Leasehold,Condominium,1.374093,103.9032585
7156,8 Holland Avenue,8 Holland Avenue,1974,882 sqft,1,3,"S$ 520,000 ",S$ 589.57 psf,99-year Leasehold,HDB Apartment,1.3065120000000001,103.7942235
7157,Langsat Road | Joo Chiat | Near Eunos MRT Station,⭐️ Brand New 4730sf Luxurious Inter-Terrace @ Langsat Rd  ⭐️,2019,"4730 sqft, 1780 sqft (land)",7,5,"S$ 4,200,000 ","S$ 2,359.55 psf",Freehold,Terraced House,1.3147939642,103.9010968569
7158,1 Rhu Cross,Costa Rhu,1998,2239 sqft,4,4,"S$ 3,400,000 ","S$ 1,518.54 psf",99-year Leasehold,Condominium,1.296108,103.8672225
7159,99A Lorong H Telok Kurau,Espira Suites,2012,678 sqft,2,2,"S$ 920,000 ","S$ 1,356.93 psf",Freehold,Condominium,,
7160,260 Jurong East Street 24,260 Jurong East Street 24,1982,1302 sqft,2,3,"S$ 470,000 ",S$ 360.98 psf,99-year Leasehold,HDB Apartment,1.3437000000000001,103.7402145
7161,52 Bayshore Park,Bayshore Park,1986,1292 sqft,2,3,"S$ 1,280,000 ",S$ 990.71 psf,99-year Leasehold,Condominium,1.3113700000000001,103.93622
7162,12 Alexandra View,Artra,99-year Leasehold,786 sqft,2,2,"S$ 1,680,300 ","S$ 2,137.79 psf",Condominium,New Project: 2021,1.290527695,103.8165717508
7163,145 Kampong Java Road,KOPAR,2024,1518 sqft,4,4,"S$ 3,263,700 ","S$ 2,150.00 psf",99-year Leasehold,Condominium,1.3132526678,103.841790176
7164,Serangoon Terrace,Ardisia Garden,1996,"4000 sqft, 2929 sqft (land)",5,5,"S$ 2,800,000 ",S$ 955.96 psf,99-year Leasehold,Semi-Detached House,1.3481194603,103.8774766192
7165,505 Dunman Road,Paradise Palms,2003,1141 sqft,2,3,"S$ 1,900,000 ","S$ 1,665.21 psf",Freehold,Condominium,1.309806,103.895379
7166,Phoenix Road,Hillsta,2016,570 sqft,1,1,"S$ 699,999 ","S$ 1,228.07 psf",99-year Leasehold,Condominium,1.3764583828,103.7573924376
7167,11A Nassim Road,Sage,2013,3498 sqft,3,3,"S$ 11,000,000 ","S$ 3,144.65 psf",Freehold,Condominium,1.3073489999999999,103.82436
7168,18 Lorong 102 Changi,Jupiter 18,2013,786 sqft,2,2,"S$ 990,000 ","S$ 1,259.54 psf",Freehold,Condominium,1.315683,103.9004505
7169,101 Upper Cross Street,People's Park Centre,1976,4090 sqft,5,4,"S$ 3,500,000 ",S$ 855.75 psf,99-year Leasehold,Apartment,1.2857669999999999,103.84398
7170,33 Simei Rise,Savannah Condopark,2005,1238 sqft,3,3,"S$ 1,059,990 ",S$ 856.21 psf,99-year Leasehold,Condominium,1.349748,103.961655
7171,736 Yishun Street 72,736 Yishun Street 72,1984,721 sqft,2,2,"S$ 290,000 ",S$ 402.22 psf,99-year Leasehold,HDB Apartment,1.42866,103.8317265
7172,100 Gerald Drive,Seletar Springs Condo,2001,2067 sqft,3,4,"S$ 1,500,000 ",S$ 725.69 psf,99-year Leasehold,Condominium,1.388205,103.878495
7173,6 Tanah Merah Kechil Link,Urban Vista,2016,442 sqft,1,1,"S$ 680,000 ","S$ 1,538.46 psf",99-year Leasehold,Condominium,1.327302,103.9450725
7174,118 Tampines Street 11,Treasure @ Tampines,99-year Leasehold,1087 sqft,3,3,"S$ 1,450,000 ","S$ 1,333.95 psf",Condominium,New Project: 2023,1.3449149999999999,103.946733
7175,546C Segar Road,546C Segar Road,2014,990 sqft,2,3,"S$ 399,000 ",S$ 403.03 psf,99-year Leasehold,HDB Apartment,1.388997,103.7695005
7176,334 Pasir Panjang Road,Whitehaven,2017,786 sqft,2,3,"S$ 1,180,000 ","S$ 1,501.27 psf",Freehold,Apartment,1.29229,103.76819
7177,28 Jansen Road,Jansen 28,2000,1690 sqft,3,3,"S$ 1,600,000 ",S$ 946.75 psf,999-year Leasehold,Apartment,1.36026,103.87692
7178,184 Yung Sheng Road,184 Yung Sheng Road,1999,1249 sqft,2,3,"S$ 420,000 ",S$ 336.27 psf,99-year Leasehold,HDB Apartment,1.333323,103.7222865
7179,8 Martin Place,Martin Modern,99-year Leasehold,764 sqft,2,2,"S$ 1,787,000 ","S$ 2,339.01 psf",Condominium,New Project: 2021,1.293354,103.838454
7180,3 Alexandra View,Ascentia Sky,2014,1798 sqft,3,4,"S$ 2,580,000 ","S$ 1,434.93 psf",99-year Leasehold,Condominium,1.290527695,103.8165717508
7181,South Buona vista road,Kent Ridge Hill Residences,2024,883 sqft,2,3,"S$ 1,567,000 ","S$ 1,774.63 psf",99-year Leasehold,Condominium,1.2889979999999999,103.7835763976
7182,230 Commonwealth Avenue,Commonwealth Towers,2017,474 sqft,1,1,"S$ 955,000 ","S$ 2,014.77 psf",99-year Leasehold,Condominium,1.29573,103.8060315
7183,524A Pasir Ris Street 51,524A Pasir Ris Street 51,2014,1001 sqft,2,3,"S$ 548,000 ",S$ 547.45 psf,99-year Leasehold,HDB Apartment,1.371276,103.947714
7184,943 Bukit Timah Road,The Cascadia,2011,5081 sqft,5,5,"S$ 7,800,000 ","S$ 1,535.13 psf",Freehold,Condominium,1.34041,103.77221
7185,3 Ang Mo Kio Street 66,Flora View,2018,656 sqft,1,2,"S$ 880,000 ","S$ 1,341.46 psf",Freehold,Apartment,1.391814,103.850685
7186,609 Yishun Street 61,609 Yishun Street 61,1985,1119 sqft,2,3,"S$ 425,000 ",S$ 379.80 psf,99-year Leasehold,HDB Apartment,1.420938,103.8362265
