,area,bathroom,bedroom,lat,long,school,mrt,age,type_condo,type_hdb,bathroom_area,bedroom_area,remaining_area,convenience,distance_from_central,price_sqft
4324,678,1,1,1.278047669,103.85838879999999,0,3,12,1,0,33.9,84.75,559.35,3,4.122800867572456,1991.15
4325,624,1,1,1.371996315,103.94480300000001,1,0,1,1,0,31.200000000000003,78.0,514.8,1,14.654435190748893,1161.86
4326,1077,3,3,1.270566,103.8136275,1,1,5,1,0,161.55,403.875,511.57500000000005,2,4.212165621520203,1857.01
4327,421,1,1,1.294884,103.8280905,2,0,5,1,0,21.05,52.625,347.325,2,1.0875851095155362,2061.76
4328,689,1,1,1.278047669,103.85838879999999,0,3,12,1,0,34.45,86.125,568.425,3,4.122800867572456,2264.15
4329,2024,3,3,1.29229,103.76819,0,0,4,1,0,303.6,759.0,961.4000000000001,0,7.194519900028373,1185.77
4330,366,1,1,1.31009,103.87106999999999,0,1,4,1,0,18.3,45.75,301.95,1,4.424093454993072,1639.34
4331,452,1,1,1.273529711,103.8361377,2,0,3,1,0,22.6,56.5,372.9,2,3.402955630609206,2212.39
4332,1582,4,3,1.314846,103.8434805,3,0,12,1,0,316.40000000000003,593.25,672.3499999999999,3,1.7707982198269383,2117.57
4333,1161,3,3,1.37497,103.97395,0,0,11,1,0,174.15000000000003,435.375,551.4749999999999,0,17.661465317617864,937.12
4334,893,2,3,1.374803224,103.9030419,2,0,2,1,0,89.30000000000001,334.875,468.82500000000005,2,11.144593715992,1343.78
4335,807,2,2,1.381005,103.901157,5,0,6,1,0,80.7,201.75,524.55,5,11.494696364707366,929.37
4336,1507,3,3,1.308429,103.82767199999999,0,0,12,1,0,226.05000000000004,565.125,715.825,0,0.6708475515209115,2302.59
4337,1735,3,3,1.374192,103.90072950000001,2,0,20,1,0,260.25000000000006,650.625,824.125,2,10.91478992177831,703.17
4338,1776,3,3,1.298079,103.7643165,0,0,5,1,0,266.40000000000003,666.0,843.5999999999999,0,7.53670654562947,1081.08
4339,506,2,1,1.312921443,103.9110213,3,0,5,1,0,50.6,63.25,392.15,3,8.873709444404888,1442.69
4340,431,1,1,1.300709927,103.85475009999999,1,3,5,1,0,21.55,53.875,355.575,4,2.5817599367174835,1665.89
4341,1335,2,3,1.292823,103.819293,2,1,3,1,0,133.5,500.625,700.875,3,1.8592579160844431,1757.3
4342,452,1,1,1.312416,103.906089,3,0,11,1,0,22.6,56.5,372.9,3,8.321983133528551,1327.43
4343,1109,3,3,1.375776,103.90256099999999,2,0,5,1,0,166.35000000000002,415.875,526.775,2,11.182664768585827,1127.14
4344,893,2,2,1.308978,103.862646,1,1,13,1,0,89.30000000000001,223.25,580.45,2,3.4788599279899803,1590.15
4345,495,1,1,1.336284,103.74174000000001,2,2,3,1,0,24.75,61.875,408.375,4,10.637985632337744,1979.8
4346,1689,4,3,1.268163,103.814379,0,0,7,1,0,337.8,633.375,717.825,0,4.409772873980708,1675.55
4347,947,2,2,1.311957,103.9402845,1,0,16,1,0,94.7,236.75,615.55,1,12.107400945480443,1425.55
4348,1410,3,3,1.30851,103.8386835,2,0,6,1,0,211.50000000000003,528.75,669.75,2,0.9163100873507157,2482.27
4349,1604,3,3,1.3019999999999998,103.85359,2,4,9,1,0,240.60000000000002,601.5,761.9000000000001,6,2.4369964998877474,1864.09
4350,1195,3,4,1.400895,103.896774,3,0,4,1,0,179.25000000000003,597.5,418.25,3,12.927833925788294,977.41
4351,1302,3,3,1.3745610000000001,103.8775275,4,0,20,1,0,195.30000000000004,488.25,618.45,4,9.317141654777076,720.43
4352,743,2,2,1.371996315,103.94480300000001,1,0,1,1,0,74.3,185.75,482.95000000000005,1,14.654435190748893,1251.68
4353,474,1,1,1.374372,103.9034835,1,0,2,1,0,23.700000000000003,59.25,391.05,1,11.146274976800202,1318.57
4354,1614,3,3,1.316034,103.802265,1,0,6,1,0,242.10000000000002,605.25,766.6500000000001,1,3.54461427674445,1629.49
4355,1711,3,3,1.356435598,103.9654041,1,0,10,1,0,256.65000000000003,641.625,812.7249999999999,1,15.961472150828971,917.59
4356,1259,3,3,1.31625,103.8304035,3,0,17,1,0,188.85000000000002,472.125,598.0250000000001,3,1.3641909234854233,1580.62
4357,904,2,2,1.355697,103.888512,2,0,7,1,0,90.4,226.0,587.6,2,8.517530406301397,1326.33
4358,581,1,1,1.343313,103.869783,3,1,5,1,0,29.05,72.625,479.32500000000005,4,6.06554755079039,1531.84
4359,926,2,2,1.3567770000000001,103.7665755,0,0,22,1,0,92.60000000000001,231.5,601.9,0,9.312872563370632,1328.29
4360,495,1,1,1.357632,103.8307995,1,0,3,1,0,24.75,61.875,408.375,1,5.9323546141813965,1575.76
4361,538,1,1,1.32084,103.8998,2,1,4,1,0,26.900000000000002,67.25,443.85,3,7.795656400638609,1245.35
4362,2088,4,5,1.31833,103.77583,2,0,41,1,0,417.6,1305.0,365.4000000000001,2,6.425616678642775,1427.2
4363,1582,3,3,1.264941,103.8157875,0,0,4,1,0,237.30000000000004,593.25,751.45,0,4.670467310915022,2054.36
4364,1001,2,3,1.3374540000000001,103.78144350000001,2,1,35,1,0,100.10000000000001,375.375,525.525,3,6.713838349842427,1886.11
4365,786,2,1,1.2751649999999999,103.844538,1,1,13,1,0,78.60000000000001,98.25,609.15,2,3.4892797008727654,1717.56
4366,506,1,1,1.428372,103.786254,4,0,6,1,0,25.3,63.25,417.45,4,14.657017559820709,1162.06
4367,1001,2,3,1.35026,103.93597,4,0,5,1,0,100.10000000000001,375.375,525.525,4,12.673630394874241,1196.8
4368,1055,2,2,1.29229,103.76819,0,0,3,1,0,105.5,263.75,685.75,0,7.194519900028373,1412.32
4369,1475,4,4,1.372077,103.945086,1,1,1,1,0,295.0,737.5,442.5,2,14.686047852206505,1206.78
4370,764,2,2,1.311579,103.9055535,3,0,13,1,0,76.4,191.0,496.6,3,8.252843223270657,1227.75
4371,570,1,1,1.3262129999999999,103.853538,1,0,12,1,0,28.5,71.25,470.25,1,3.449663042353744,1491.23
4372,861,2,2,1.391994,103.91374350000001,4,0,4,1,0,86.10000000000001,215.25,559.65,4,13.337572704174105,961.67
4373,1001,2,3,1.303632,103.829229,0,1,10,1,0,100.10000000000001,375.375,525.525,1,0.28688523299258084,2647.35
4374,893,2,2,1.266813,103.81450500000001,0,0,16,1,0,89.30000000000001,223.25,580.45,0,4.538394655957723,1713.33
4375,1561,2,3,1.277226,103.8536955,0,3,3,1,0,156.10000000000002,585.375,819.5250000000001,3,3.834908443538495,2451.85
4376,1345,4,4,1.365552,103.771062,1,1,3,1,0,269.0,672.5,403.5,2,9.591682952375711,1329.37
4377,1615,3,3,1.293651,103.83718499999999,1,0,6,1,0,242.25000000000003,605.625,767.125,1,1.2918219037861467,2167.18
4378,1152,4,3,1.372464,103.945194,1,1,1,1,0,230.4,432.0,489.6,2,14.718335546911222,1300.35
4379,1291,3,3,1.444725,103.8049515,4,0,20,1,0,193.65000000000003,484.125,613.2249999999999,4,15.845522175136498,617.35
4380,721,1,1,1.276713,103.8533265,0,3,3,1,0,36.050000000000004,90.125,594.825,3,3.853165167326251,2191.4
4381,1895,2,3,1.3108,103.90138,1,0,15,1,0,189.5,710.625,994.875,1,7.782117105598038,1292.88
4382,807,2,2,1.300275,103.90072950000001,0,0,7,1,0,80.7,201.75,524.55,0,7.684225562555267,2044.61
4383,775,2,2,1.3459860000000001,103.725378,3,0,2,1,0,77.5,193.75,503.75,3,12.719616159425112,1522.58
4384,1109,2,1,1.315305,103.843017,3,0,17,1,0,110.9,138.625,859.475,3,1.7687526060366836,1523.9
4385,1152,2,3,1.318698,103.84534350000001,1,1,20,1,0,115.2,432.0,604.8,2,2.2186687861960523,1996.53
4386,1282,2,2,1.354959,103.865796,4,1,5,1,0,128.20000000000002,320.5,833.3,5,6.789060027650353,1084.24
4387,904,2,2,1.325718,103.845384,1,0,8,1,0,90.4,226.0,587.6,1,2.839598308999202,1659.29
4388,1292,2,3,1.36017,103.966488,2,0,21,1,0,129.20000000000002,484.5,678.3,2,16.227450934768758,773.99
4389,1356,3,3,1.353681,103.76055,1,0,18,1,0,203.40000000000003,508.5,644.0999999999999,1,9.645345297050445,1106.19
4390,861,2,2,1.310706,103.858029,2,1,11,1,0,86.10000000000001,215.25,559.65,3,3.0139406114826635,1800.23
4391,732,2,2,1.316179483,103.8461087,2,0,3,1,0,73.2,183.0,475.79999999999995,2,2.087725848904844,2117.49
4392,1550,2,3,1.3308799999999998,103.79738,1,1,21,1,0,155.0,581.25,813.75,2,4.847518570029975,1950.0
4393,495,1,1,1.342165522,103.88212990000001,2,1,1,1,0,24.75,61.875,408.375,3,7.015276208305057,1575.76
4394,904,2,2,1.430532,103.785534,5,0,14,1,0,90.4,226.0,587.6,5,14.90883487957709,829.65
4395,1044,1,1,1.30644,103.9100625,3,0,17,1,0,52.2,130.5,861.3,3,8.716107233542534,1101.53
4396,1119,3,3,1.356984,103.9644495,1,0,5,1,0,167.85000000000002,419.625,531.525,1,15.884809016246061,1000.89
4397,441,1,1,1.32407,103.85596,1,0,5,1,0,22.05,55.125,363.825,1,3.488513660039682,1650.79
4398,669,1,1,1.3521107490000002,103.8796146,1,0,6,1,0,33.45,83.625,551.925,1,7.5265260118492785,1150.97
4399,700,1,1,1.2751649999999999,103.844538,1,1,13,1,0,35.0,87.5,577.5,2,3.4892797008727654,1828.57
4400,1399,2,3,1.329948,103.8691755,2,1,4,1,0,139.9,524.625,734.4749999999999,3,5.055329700219241,1356.68
4401,1200,2,3,1.4238540000000002,103.8480795,3,0,6,1,0,120.0,450.0,630.0,3,13.377363201498785,773.33
4402,1012,3,3,1.313559,103.8861,2,1,12,1,0,151.8,379.5,480.70000000000005,3,6.136968095320902,1264.82
4403,1787,2,3,1.329948,103.8691755,2,1,4,1,0,178.70000000000002,670.125,938.175,3,5.055329700219241,1392.28
4404,495,1,1,1.336284,103.74174000000001,2,2,3,1,0,24.75,61.875,408.375,4,10.637985632337744,1858.59
4405,1336,2,3,1.38798,103.879818,3,0,19,1,0,133.6,501.0,701.4000000000001,3,10.715789775147483,799.4
4406,732,2,2,1.3900139999999999,103.8954645,9,1,4,1,0,73.2,183.0,475.79999999999995,10,11.8619403021803,1256.83
4407,355,1,1,1.3113629999999998,103.85859599999999,2,1,6,1,0,17.75,44.375,292.875,3,3.093481105741754,1690.14
4408,452,1,2,1.312024506,103.8833374,2,1,1,1,0,22.6,113.0,316.4,3,5.805992065158758,1591.59
4409,1055,3,3,1.3896,103.7694465,3,0,6,1,0,158.25000000000003,395.625,501.125,3,11.736034534601911,898.58
4410,732,2,2,1.379888262,103.89315520000001,6,1,3,1,0,73.2,183.0,475.79999999999995,7,10.820465066686879,1502.73
4411,1227,3,3,1.373688,103.9001535,2,0,20,1,0,184.05000000000004,460.125,582.825,2,10.830093767707801,774.25
4412,614,1,1,1.301706,103.7899665,1,1,11,1,0,30.700000000000003,76.75,506.54999999999995,2,4.660538751318354,1824.1
4413,1281,3,3,1.397646,103.750497,4,1,20,1,0,192.15000000000003,480.375,608.4749999999999,5,13.750509965900228,714.29
4414,796,2,2,1.312524,103.891761,1,0,6,1,0,79.60000000000001,199.0,517.4,1,6.741458133878352,1316.58
4415,1141,3,3,1.332063,103.87386,2,0,20,1,0,171.15000000000003,427.875,541.9749999999999,2,5.618224734988109,1533.74
4416,980,2,3,1.321821,103.864743,2,1,4,1,0,98.0,367.5,514.5,3,4.164496250642811,1448.98
4417,1066,2,3,1.386702,103.7436795,3,1,16,1,0,106.60000000000001,399.75,559.65,4,13.408198561680706,833.02
4418,1163,1,1,1.293651,103.83718499999999,1,0,6,1,0,58.150000000000006,145.375,959.4749999999999,1,1.2918219037861467,1733.45
4419,915,1,1,1.2792780000000001,103.850541,0,2,9,1,0,45.75,114.375,754.875,2,3.438874037331854,2021.86
4420,1378,2,3,1.35026,103.93597,4,0,5,1,0,137.8,516.75,723.45,4,12.673630394874241,907.11
4421,732,2,2,1.290591,103.8177315,2,1,4,1,0,73.2,183.0,475.79999999999995,3,2.154202732799573,2117.49
4422,775,2,2,1.40598,103.8996675,5,1,5,1,0,77.5,193.75,503.75,6,13.574110467988447,1197.42
4423,818,2,2,1.377522,103.96024200000001,2,0,4,1,0,81.80000000000001,204.5,531.7,2,16.446569882877224,1099.02
4424,1259,3,3,1.31328,103.858047,2,1,14,1,0,188.85000000000002,472.125,598.0250000000001,3,3.098259310078739,1207.31
4425,839,2,2,1.344033,103.8728835,3,0,4,1,0,83.9,209.75,545.35,3,6.36609382336662,1430.27
4426,1313,3,3,1.339758,103.9568085,1,0,8,1,0,196.95000000000002,492.375,623.675,1,14.465359897537624,1188.12
4427,1001,2,2,1.303596,103.841073,2,1,5,1,0,100.10000000000001,250.25,650.65,3,1.0349254393705083,2197.8
4428,462,1,1,1.294551,103.82758199999999,2,0,5,1,0,23.1,57.75,381.15,2,1.143703462979125,1839.83
4429,904,2,2,1.2984209999999998,103.7648475,0,0,5,1,0,90.4,226.0,587.6,0,7.4746239865239215,1548.67
4430,592,1,1,1.32453,103.92988050000001,3,1,5,1,0,29.6,74.0,488.4,4,11.1511422272947,1545.61
4431,527,1,1,1.329948,103.8691755,2,1,4,1,0,26.35,65.875,434.775,3,5.055329700219241,1552.18
4432,1067,2,3,1.312101,103.9062555,3,0,28,1,0,106.7,400.125,560.175,3,8.336578680233494,1209.0
4433,829,2,2,1.353544043,103.848677,4,2,3,1,0,82.9,207.25,538.85,6,5.792949789291852,1674.31
4434,366,1,1,1.30635,103.8988665,1,0,7,1,0,18.3,45.75,301.95,1,7.470443259274668,1734.97
4435,431,1,1,1.3123799999999999,103.90738499999999,3,0,5,1,0,21.55,53.875,355.575,3,8.464887588526329,1461.72
4436,1044,2,2,1.353699,103.7611215,1,0,18,1,0,104.4,261.0,678.6,1,9.594280018384543,1197.32
4437,581,1,1,1.3353030000000001,103.74241500000001,2,2,3,1,0,29.05,72.625,479.32500000000005,4,10.531095418278811,1549.05
4438,1119,2,2,1.290818245,103.83800809999998,1,0,4,1,0,111.9,279.75,727.35,1,1.6129896672203345,2100.09
4439,1206,2,3,1.277694,103.849551,0,2,3,1,0,120.60000000000001,452.25,633.1500000000001,2,3.516514859811168,2321.72
4440,936,2,2,1.33605,103.8680145,2,1,10,1,0,93.60000000000001,234.0,608.4,3,5.36899069066179,1549.15
4441,1294,2,3,1.300709927,103.85475009999999,1,3,20,1,0,129.4,485.25,679.3499999999999,4,2.5817599367174835,656.88
4442,1615,3,4,1.36008,103.876425,1,0,12,1,0,242.25000000000003,807.5,565.25,1,7.946650351039071,1003.1
4443,463,1,1,1.30466,103.9042,3,0,7,1,0,23.150000000000002,57.875,381.975,3,8.059799550709723,1563.71
4444,463,1,1,1.357119,103.966227,1,0,3,1,0,23.150000000000002,57.875,381.975,1,16.074290072034398,1155.51
4445,689,1,1,1.278047669,103.85838879999999,0,3,12,1,0,34.45,86.125,568.425,3,4.122800867572456,2104.5
4446,1615,2,3,1.316034,103.802265,1,0,6,1,0,161.5,605.625,847.875,1,3.54461427674445,1609.91
4447,1141,1,2,1.392021,103.89621600000001,9,1,17,1,0,57.050000000000004,285.25,798.7,10,12.090043507882589,788.78
4448,1270,3,3,1.345806,103.723371,3,1,13,1,0,190.50000000000003,476.25,603.25,4,12.920680257057652,944.88
4449,517,1,1,1.3624032130000001,103.7643718,1,1,4,1,0,25.85,64.625,426.525,2,9.899417124947337,1450.68
4450,1227,3,3,1.266525,103.81656600000001,0,2,16,1,0,184.05000000000004,460.125,582.825,2,4.475535255279711,1491.44
