Built,area,bathroom,bedroom,price_sqft,Type,latitude,longitude
1983,1108.0,2,3,451.26,HDB,1.350945,103.943079
2016,915.0,2,3,852.46,Condo,1.3767120000000002,103.95992700000001
1986,732.0,1,1,1229.51,Condo,1.31059,103.9254
1979,4024.0,3,4,1068.59,Condo,1.31833,103.77583
1980,721.0,2,2,381.41,HDB,1.3293,103.922415
2003,1174.0,2,3,766.61,Condo,1.431468,103.786767
1998,1184.0,2,3,1351.35,Condo,1.2824799999999998,103.78553000000001
2010,936.0,2,2,1495.73,Condo,1.3259940336,103.8638262409
1988,1087.0,1,3,542.78,HDB,1.3076799634,103.8515000511
1984,1518.0,2,4,428.19,HDB,1.348803,103.7289825
2014,926.0,2,3,777.54,HDB,1.336662,103.921623
2002,1530.0,3,3,2300.65,Condo,1.3061900522,103.8226900628
1983,1690.0,3,3,355.03,HDB,1.3548959999999999,103.72125600000001
2016,2422.0,3,3,2848.89,Condo,1.2972059999999999,103.838976
2004,1346.0,3,3,1448.74,Condo,1.311687,103.9395735
1974,678.0,2,3,471.98,HDB,1.2828,103.81786
2016,926.0,2,3,944.92,Condo,1.392111,103.91300550000001
1987,1420.0,3,4,492.96,HDB,1.358298,103.95500849999999
2007,581.0,1,1,1975.9,Condo,1.275165,103.844538
2014,1076.0,2,3,1394.05,Condo,1.29084,103.82078
1998,1324.0,2,3,2001.51,Condo,1.29328,103.82615
2016,754.0,2,2,1140.58,Condo,1.370385,103.9448475
1984,990.0,2,3,420.2,HDB,1.339965,103.73804100000001
2015,1130.0,2,3,840.71,HDB,1.319445,103.7656485
2016,517.0,1,1,1429.4,Condo,1.3624032130000001,103.7643717576
2023,581.0,1,2,1344.23,Condo,1.36819,103.92948
1995,1324.0,3,3,1722.05,Condo,1.296576,103.8705705
2016,883.0,2,2,1030.58,Condo,1.378332,103.90289399999999
2016,753.0,2,3,1312.08,Condo,1.370844,103.7757195
2016,624.0,1,1,1410.26,Condo,1.363932,103.76458199999999
2001,1787.0,4,4,838.84,Condo,1.348875,103.9278555
2012,635.0,1,1,1354.33,Condo,1.35025,103.83577
1980,1011.0,2,3,356.08,HDB,1.3327799999999999,103.93165
2015,1001.0,2,3,549.45,HDB,1.40246,103.90686
2004,1185.0,2,3,1139.24,Condo,1.30995,103.8970755
1998,1248.0,3,3,1105.77,Condo,1.345113,103.7680515
2013,1012.0,2,2,1778.66,Condo,1.2684598543,103.8143725106
2017,474.0,1,1,1957.81,Condo,1.29546,103.8065175
1997,1593.0,3,3,784.68,Condo,1.38797,103.86879
2012,1655.0,3,3,1993.96,Condo,1.34041,103.77221
1997,1098.0,2,3,683.06,HDB,1.309446,103.8833325
2000,1528.0,3,3,890.05,Condo,1.34261,103.92539000000001
2010,904.0,2,2,2497.79,Condo,1.307736,103.8390885
2018,560.0,1,1,1476.79,Condo,1.3459860000000001,103.725378
2016,560.0,1,1,1375.0,Condo,1.328175,103.9073535
2018,711.0,2,2,1547.12,Condo,1.378665,103.76395649999999
2011,3563.0,3,3,1683.97,Condo,1.296504,103.8418425
2014,1507.0,3,3,1769.52,Condo,1.3063046987,103.9132140186
2013,603.0,1,1,1343.28,Condo,1.312767,103.903326
1984,1629.0,3,4,552.49,HDB,1.35261,103.8662235
2012,505.0,1,1,495.05,HDB,1.322856,103.739238
2008,958.0,2,2,803.76,Condo,1.432701,103.7974365
