area,bathroom,bedroom,Type,latitude,longitude,school,mrt,age_of_building,bathroom_area,bedroom_area,remaining_area,convenience,distance_from_central,price_sqft
893.0,2,2,Condo,1.280772,103.8526605,0.0,3.0,12,89.30000000000001,223.25,580.45,3.0,3.4627785831027076,1847.7
1152.0,2,2,Condo,1.300599,103.904604,1.0,0.0,15,115.2,288.0,748.8,1.0,8.113102460913343,1414.93
1442.0,2,4,HDB,1.33949,103.70739,3.0,1.0,22,144.20000000000002,721.0,576.8,4.0,14.38933833607776,435.51
527.0,1,1,Condo,1.34261,103.92539,1.0,0.0,5,26.35,65.875,434.775,1.0,11.258884742871572,1324.48
1518.0,4,4,Condo,1.347309,103.9274595,0.0,0.0,19,303.6,759.0,455.4000000000001,0.0,11.675682908901969,1040.84
1302.0,2,3,HDB,1.43621,103.83582,4.0,0.0,34,130.20000000000002,488.25,683.55,4.0,14.627008877544762,344.09
1313.0,3,3,Condo,1.2771270000000001,103.8458115,1.0,1.0,4,196.95000000000002,492.375,623.675,2.0,3.355833935564599,3274.94
560.0,1,2,Condo,1.3439969999999999,103.8732255,3.0,0.0,4,28.0,140.0,392.0,3.0,6.390740397802234,1625.0
592.0,1,1,Condo,1.2941639999999999,103.838427,1.0,0.0,9,29.6,74.0,488.4,1.0,1.31439882382515,2407.09
517.0,1,1,Condo,1.324287,103.928787,2.0,1.0,5,25.85,64.625,426.525,3.0,11.02652504753028,1740.81
1280.0,2,3,HDB,1.33949,103.70739,3.0,1.0,23,128.0,480.0,672.0,4.0,14.38933833607776,382.81
1615.0,3,3,Condo,1.33333,103.85,3.0,1.0,39,242.25000000000003,605.625,767.125,4.0,3.8256036137122855,1040.25
1098.0,2,2,Condo,1.358649,103.9652865,2.0,0.0,17,109.80000000000001,274.5,713.7,2.0,16.03988214876546,851.55
1679.0,3,3,Condo,1.34041,103.77221,2.0,1.0,8,251.85000000000005,629.625,797.5249999999999,3.0,7.7569838806185825,1965.46
700.0,2,2,Condo,1.326852,103.9485285,0.0,1.0,3,70.0,175.0,455.0,1.0,13.236382343582294,1598.41
980.0,2,3,HDB,1.3717709999999999,103.853961,2.0,0.0,9,98.0,367.5,514.5,2.0,7.890750684474189,775.51
1431.0,2,3,HDB,1.3494329999999999,103.939254,3.0,1.0,37,143.1,536.625,751.2750000000001,4.0,12.973149831288993,375.96
398.0,2,1,Condo,1.310949,103.8827205,2.0,0.0,3,39.800000000000004,49.75,308.45,2.0,5.720952335764593,1603.02
1259.0,3,3,Condo,1.3728870000000002,103.9436865,1.0,0.0,9,188.85000000000002,472.125,598.0250000000001,1.0,14.599074824720864,953.14
1453.0,2,3,HDB,1.351593,103.72464,3.0,0.0,36,145.3,544.875,762.825,3.0,13.033902194744543,314.44
818.0,2,2,Condo,1.299159,103.857858,1.0,1.0,3,81.80000000000001,204.5,531.7,2.0,2.95079854460177,2872.86
1312.0,2,3,HDB,1.345311,103.953186,4.0,1.0,33,131.20000000000002,492.0,688.8,5.0,14.262665841919599,445.88
